"","title","price","floor_area","location","agency","image_url"
"176","Erstbezug! 3 - Zimmer Wohnung Nähe U1 Keplerplatz!",299000,69,"1100","GULZ & PARTNER Property Investment GmbH","https://cache.willhaben.at/mmo/8/380/544/468_-367990508_hoved.jpg"
"177","Modernes Wohnen im Quartier Belvedere",175000,50,"1100","","https://cache.willhaben.at/mmo/6/380/519/136_-2124161566_hoved.jpg"
"178","Vorsorge- 2 Zimmer-Wohnung",269000,50,"1100","","https://cache.willhaben.at/mmo/4/379/685/814_-369501044_hoved.jpg"
"179","Neu saniertes 3-Zimmer-Eigentum - direkt vom Eigentümer - PROVISIONSFREI",187000,76,"1100","SmartSelect GmbH","https://cache.willhaben.at/mmo/2/337/704/532_775419777_hoved.jpg"
"180","ANLEGERGEEIGNET ! 2-Zimmer-Wohnung in Top-Verkehrslage nächst SONNWENDVIERTEL",168000,47,"1100","artedomus. e.U.","https://cache.willhaben.at/mmo/8/380/537/728_-410002406_hoved.jpg"
"181","Provisionsfrei - Ruhige 2-Zimmer-Altbauwohnung im 2. Stock - optimaler Grundriß - zentrale Lage",595000,50,"1100","","https://cache.willhaben.at/mmo/8/377/094/528_875486068_hoved.jpg"
"182","Favorite Spring: moderne DG-Maisonette mit Weitblick - PROVISIONSFREI",199000,107,"1100","Ulreich Bauträger GmbH","https://cache.willhaben.at/mmo/9/380/505/069_-817109244_hoved.jpg"
"183","""++ Reumannplatz++""",136000,57,"1100","RE/MAX Donau-City-Immobilien","https://cache.willhaben.at/mmo/5/373/834/735_1936190963_hoved.jpg"
"184","Helle 2 Zimmerwohnung mit bester Infrastruktur nahe Erholungsgebiet Wienerberg!",407135,51,"1100","RE/MAX Emotion","https://cache.willhaben.at/mmo/9/380/482/159_-1257445370_hoved.jpg"
"185","Wunderschöne, komplett möblierte Wohnung am Hauptbahnhof!",235000,81,"1100","NOVEL REAL","https://cache.willhaben.at/mmo/4/380/447/134_-1811944813_hoved.jpg"
"186","Barrierefreie 3-Zimmer-DG-Wohnung mit phantastischem Fernblick",239900,64,"1100","Galerie Immobilien GmbH","https://cache.willhaben.at/mmo/9/380/447/139_621736665_hoved.jpg"
"187","nette 2 Zimmer Eigentumswohnung in Wien 1100 zu kaufen",185000,67,"1100","Dream Immobilien","https://cache.willhaben.at/mmo/7/350/330/857_780922239_hoved.jpg"
"188","Zum Verkauf eine sanierungsbedürftige Wohnung 1100 Wien",329000,47,"1100","4M Immobilien&Consulting GmbH & Co KG","https://cache.willhaben.at/mmo/7/379/701/377_216985517_hoved.jpg"
